-36,79
-24,52
280,-607
15,-33
31,-66
-2,5
182,-381
18,-38
76,-159
29,-64
-129,129
-17,58
-41,161
-10,42
-115,487
4,-13
-13,82
-9,49
-397,1412
31,-122
55,-210
8,-30
25,-97
0,-1
-9,32
-7,25
-172,599
15,-53
14,-47
-3,11
-108,359
2,-8
-49,155
-34,104
-711,2316
84,-261
163,-503
25,-75
120,-341
3,-6
-38,121
-41,124
-1361,3977
188,-546
484,-1393
113,-321
1096,-3093
-15,41
171,-472
81,-223
1464,-3976
-122,328
-182,484
-21,57
-68,177
0,1
16,-42
12,-29
210,-541
-17,41
-13,32
3,-7
71,-169
0,1
33,-65
21,-37
-27,-90
-16,28
-22,29
4,-7
-147,183
-17,23
-96,138
-50,80
-298,894
100,-209
271,-578
67,-144
693,-1499
-18,30
86,-219
43,-111
1552,-3007
-106,227
-171,360
-25,49
-37,107
1,-1
16,-37
10,-24
441,-791
-26,51
-19,41
6,-11
150,-295
-9,12
23,-70
15,-45
1156,-1928
-78,150
-141,272
-26,45
37,22
11,-12
79,-109
47,-72
848,-1523
-123,210
-291,496
-63,106
-563,947
7,-12
-75,124
-33,54
-533,877
42,-68
58,-92
